year,host,venue_for_final,team_1,team_2,winner,margin
1975,England,Lord's,WI ,Aus,WI , 17 runs
1979,England,Lord's,WI ,Eng,WI , 92 runs
1983,England,Lord's,Ind,WI ,Ind, 43 runs
1987,India,Kolkata,Aus,Eng,Aus, 7 runs
1992,"Australia, New Zealand",Melbourne,Pak,Eng,Pak, 22 runs
1996,"India, Pakistan, Sri Lanka",Lahore (Gdffi),Aus,SL ,SL , 7 wickets
1999,England,Lord's,Pak,Aus,Aus, 8 wickets
2003,South Africa,Wanderers,Aus,Ind,Aus, 125 runs
2007,West Indies,Bridgetown,Aus,SL ,Aus, 53 runs
2011,"India, Pakistan, Sri Lanka, Bangladesh",Wankhede,SL ,Ind,Ind, 6 wickets
2015,"Australia, New Zealand",Melbourne,NZ ,Aus,Aus, 7 wickets
